,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
51,1234,0.05,3,200,729,0,2.788,0,0.488537549,0.00217475,1728
52,1235,0.05,3,200,729,0,2.723,0,0.485981308,0.002223421,1721
53,1236,0.05,3,200,729,0,2.732,0,0.472315436,0.002274403,1763
54,1237,0.05,3,200,729,0,2.671,0,0.493670886,0.002148339,1716
55,1238,0.05,3,200,729,0,2.725,0,0.465955701,0.002185877,1731
56,1239,0.05,3,200,729,0,2.794,0,0.482100239,0.00224639,1784
57,1240,0.05,3,200,729,0,3.02,0,0.475450082,0.002191547,1738
58,1241,0.05,3,200,729,0,2.893,0,0.482213439,0.002238879,1768
59,1242,0.05,3,200,729,0,2.981,0,0.500821018,0.002223593,1736
60,1243,0.05,3,200,729,0,2.688,0,0.5,0.002131315,1695
61,1244,0.05,3,200,729,0,3.047,0,0.479608483,0.002244373,1760
62,1245,0.05,3,200,729,0,2.809,0,0.469814241,0.002237107,1796
63,1246,0.05,3,200,729,0,2.715,0,0.48755832,0.002144656,1724
64,1247,0.05,3,200,729,0,2.874,0,0.482534525,0.002178382,1719
65,1248,0.05,3,200,729,0,2.827,0,0.484399376,0.002127664,1723
66,1249,0.05,3,200,729,0,2.879,0,0.511646586,0.002165237,1697
67,1250,0.05,3,200,729,0,3.164,0,0.49478749,0.00225012,1775
68,1251,0.05,3,200,729,0,2.746,0,0.497995188,0.002157701,1703
69,1252,0.05,3,200,729,0,2.747,0,0.494514768,0.002204596,1709
70,1253,0.05,3,200,729,0,2.882,0,0.481452249,0.002176644,1741
71,1254,0.05,3,200,729,0,2.808,0,0.507630522,0.002169009,1711
72,1255,0.05,3,200,729,0,2.782,0,0.512417219,0.002136796,1664
73,1256,0.05,3,200,729,0,2.964,0,0.476484194,0.002199402,1788
74,1257,0.05,3,200,729,0,2.678,0,0.488046167,0.002168878,1710
75,1258,0.05,3,200,729,0,2.94,0,0.476043277,0.00215412,1757
76,1259,0.05,3,200,729,0,2.984,0,0.473005641,0.002261411,1783
77,1260,0.05,3,200,729,0,2.713,0,0.477071601,0.002182204,1743
78,1261,0.05,3,200,729,0,2.931,0,0.470588235,0.002221946,1779
79,1262,0.05,3,200,729,0,2.797,0,0.488262911,0.0022163,1758
80,1263,0.05,3,200,729,0,2.963,0,0.501610306,0.002189744,1719
81,1264,0.05,3,200,729,0,2.745,0,0.461724416,0.002223689,1775
82,1265,0.05,3,200,729,0,2.926,0,0.483895706,0.00211832,1728
83,1266,0.05,3,200,729,0,2.804,0,0.483408748,0.00210709,1730
84,1267,0.05,3,200,729,0,3.044,0,0.483127572,0.0022613,1759
85,1268,0.05,3,200,729,0,2.717,0,0.490848586,0.002217868,1727
86,1269,0.05,3,200,729,0,2.741,0,0.49381762,0.002120167,1719
87,1270,0.05,3,200,729,0,2.832,0,0.475580464,0.002233153,1764
88,1271,0.05,3,200,729,0,2.799,0,0.50546875,0.002078614,1662
89,1272,0.05,3,200,729,0,2.696,0,0.487055016,0.002202922,1747
90,1273,0.05,3,200,729,0,2.84,0,0.469421488,0.002306542,1803
91,1274,0.05,3,200,729,0,2.723,0,0.487138264,0.002199183,1740
92,1275,0.05,3,200,729,0,2.918,0,0.477702192,0.002186306,1782
93,1276,0.05,3,200,729,0,2.994,0,0.497596154,0.002123755,1688
94,1277,0.05,3,200,729,0,2.882,0,0.501167315,0.002110699,1691
95,1278,0.05,3,200,729,0,2.906,0,0.462339744,0.002195427,1759
96,1279,0.05,3,200,729,0,2.884,0,0.483359746,0.002195485,1738
97,1280,0.05,3,200,729,0,2.808,0,0.492129246,0.002253722,1736
98,1281,0.05,3,200,729,0,2.939,0,0.480559876,0.002169177,1761
99,1282,0.05,3,200,729,0,2.672,0,0.478013029,0.002182142,1740
100,1283,0.05,3,200,729,0,2.633,0,0.473049075,0.002185976,1749
151,1234,0.05,5,200,729,0,2.945,0,0.482656095,0.001554523,1817
152,1235,0.05,5,200,729,0,2.733,0,0.489673913,0.001676734,1776
153,1236,0.05,5,200,729,0,2.766,0,0.513030148,0.001459912,1679
154,1237,0.05,5,200,729,0,2.86,0,0.493555317,0.001663586,1767
155,1238,0.05,5,200,729,0,2.761,0,0.495575221,0.001575011,1759
156,1239,0.05,5,200,729,0,2.999,0,0.489698891,0.001693897,1800
157,1240,0.05,5,200,729,0,2.862,0,0.47995889,0.001678958,1847
158,1241,0.05,5,200,729,0,3.055,0,0.485472795,0.001608919,1769
159,1242,0.05,5,200,729,0,2.874,0,0.500521376,0.001642988,1778
160,1243,0.05,5,200,729,0,2.786,0,0.50509165,0.001526034,1731
161,1244,0.05,5,200,729,0,2.776,0,0.49291939,0.001654063,1762
162,1245,0.05,5,200,729,0,2.831,0,0.486684073,0.001565551,1759
163,1246,0.05,5,200,729,0,2.715,0,0.5,0.001567401,1719
164,1247,0.05,5,200,729,0,2.73,0,0.490835031,0.001565696,1786
165,1248,0.05,5,200,729,0,2.864,0,0.490803994,0.001659938,1794
166,1249,0.05,5,200,729,0,3.052,0,0.516649324,0.001552352,1706
167,1250,0.05,5,200,729,0,2.911,0,0.484656085,0.001658008,1796
168,1251,0.05,5,200,729,0,2.761,0,0.490872211,0.001607271,1803
169,1252,0.05,5,200,729,0,2.716,0,0.505034446,0.00155225,1712
170,1253,0.05,5,200,729,0,2.771,0,0.487244898,0.001595902,1800
171,1254,0.05,5,200,729,0,2.914,0,0.494562403,0.001573153,1762
172,1255,0.05,5,200,729,0,2.967,0,0.482401656,0.001627923,1800
173,1256,0.05,5,200,729,0,2.939,0,0.506367804,0.001573248,1757
174,1257,0.05,5,200,729,0,2.779,0,0.482291667,0.001603336,1788
175,1258,0.05,5,200,729,0,2.94,0,0.516146109,0.001548479,1699
176,1259,0.05,5,200,729,0,2.794,0,0.494435612,0.001639115,1770
177,1260,0.05,5,200,729,0,2.791,0,0.495100567,0.001622279,1788
178,1261,0.05,5,200,729,0,2.925,0,0.502290076,0.001567588,1765
179,1262,0.05,5,200,729,0,2.692,0,0.494288681,0.001561807,1762
180,1263,0.05,5,200,729,0,2.942,0,0.495166488,0.001686245,1793
181,1264,0.05,5,200,729,0,3.247,0,0.483687209,0.001661914,1829
182,1265,0.05,5,200,729,0,3.046,0,0.5046875,0.001588228,1745
183,1266,0.05,5,200,729,0,2.759,0,0.483471074,0.001631713,1814
184,1267,0.05,5,200,729,0,2.733,0,0.501569038,0.001590092,1756
185,1268,0.05,5,200,729,0,2.83,0,0.493458922,0.001593866,1766
186,1269,0.05,5,200,729,0,2.9,0,0.495412844,0.001529806,1750
187,1270,0.05,5,200,729,0,2.703,0,0.483690112,0.001588354,1809
188,1271,0.05,5,200,729,0,2.795,0,0.51104263,0.001488213,1700
189,1272,0.05,5,200,729,0,2.862,0,0.499208443,0.001616479,1758
190,1273,0.05,5,200,729,0,2.862,0,0.494019761,0.001624119,1786
191,1274,0.05,5,200,729,0,2.73,0,0.499205929,0.001610796,1741
192,1275,0.05,5,200,729,0,2.855,0,0.483837331,0.001616549,1795
193,1276,0.05,5,200,729,0,2.904,0,0.505107252,0.001571344,1751
194,1277,0.05,5,200,729,0,2.759,0,0.508064516,0.001510982,1720
195,1278,0.05,5,200,729,0,2.84,0,0.477857878,0.001643063,1822
196,1279,0.05,5,200,729,0,2.781,0,0.488982162,0.001650505,1790
197,1280,0.05,5,200,729,0,2.74,0,0.494656489,0.001546812,1762
198,1281,0.05,5,200,729,0,2.99,0,0.504415584,0.001648675,1772
199,1282,0.05,5,200,729,0,2.826,0,0.488395062,0.001550765,1811
200,1283,0.05,5,200,729,0,2.647,0,0.500533618,0.001603197,1746
251,1234,0.05,3,200,729,1,3.673,26055.0875,0.255335968,0.002985801,2408
252,1235,0.05,3,200,729,1,3.525,26107.50611,0.252336449,0.003013593,2367
253,1236,0.05,3,200,729,1,3.34,26153.99204,0.257550336,0.002917497,2328
254,1237,0.05,3,200,729,1,3.696,26109.43386,0.26028481,0.002936755,2394
255,1238,0.05,3,200,729,1,3.732,26047.17506,0.246923708,0.003013832,2401
256,1239,0.05,3,200,729,1,3.717,26288.56403,0.233890215,0.003023479,2465
257,1240,0.05,3,200,729,1,3.567,26078.49434,0.241407529,0.002972357,2396
258,1241,0.05,3,200,729,1,3.648,26095.70421,0.231620553,0.00301598,2449
259,1242,0.05,3,200,729,1,3.686,26032.58428,0.263546798,0.002911982,2350
260,1243,0.05,3,200,729,1,3.566,26158.09812,0.250798722,0.003034767,2441
261,1244,0.05,3,200,729,1,3.556,26217.68412,0.236541599,0.003061022,2454
262,1245,0.05,3,200,729,1,3.501,26165.15031,0.246130031,0.002991612,2441
263,1246,0.05,3,200,729,1,3.631,26286.43581,0.257387247,0.002985919,2420
264,1247,0.05,3,200,729,1,3.693,26111.0961,0.24207961,0.002961091,2400
265,1248,0.05,3,200,729,1,3.729,26043.1411,0.252730109,0.002863292,2375
266,1249,0.05,3,200,729,1,3.616,26175.83532,0.268273092,0.0029706,2389
267,1250,0.05,3,200,729,1,3.583,26073.66267,0.251002406,0.002940433,2395
268,1251,0.05,3,200,729,1,3.76,26140.61783,0.26222935,0.002976269,2394
269,1252,0.05,3,200,729,1,3.549,25998.63536,0.256540084,0.003000438,2376
270,1253,0.05,3,200,729,1,3.539,26077.78773,0.252565114,0.002899048,2374
271,1254,0.05,3,200,729,1,3.449,26198.91077,0.255421687,0.002978144,2408
272,1255,0.05,3,200,729,1,3.881,26122.3897,0.264072848,0.003021313,2398
273,1256,0.05,3,200,729,1,3.566,26094.44364,0.249807247,0.002955801,2439
274,1257,0.05,3,200,729,1,3.443,26217.60825,0.242374279,0.002919499,2369
275,1258,0.05,3,200,729,1,3.548,26230.06205,0.255795981,0.002921831,2412
276,1259,0.05,3,200,729,1,3.657,26097.55957,0.234488316,0.002985666,2428
277,1260,0.05,3,200,729,1,3.52,26118.58089,0.252614642,0.002904575,2372
278,1261,0.05,3,200,729,1,3.685,26141.04059,0.236862745,0.002887775,2389
279,1262,0.05,3,200,729,1,3.722,25937.11876,0.244913928,0.002991533,2441
280,1263,0.05,3,200,729,1,3.525,26112.37003,0.251207729,0.002980013,2407
281,1264,0.05,3,200,729,1,3.317,26117.45488,0.236905721,0.002938514,2382
282,1265,0.05,3,200,729,1,3.673,26066.06125,0.259969325,0.002946408,2427
283,1266,0.05,3,200,729,1,3.692,26151.92564,0.243589744,0.002959735,2462
284,1267,0.05,3,200,729,1,3.749,26197.76482,0.243621399,0.002970431,2382
285,1268,0.05,3,200,729,1,3.825,26193.57967,0.267054908,0.003015621,2376
286,1269,0.05,3,200,729,1,3.679,26073.96446,0.260432767,0.002933149,2413
287,1270,0.05,3,200,729,1,3.682,26064.85467,0.257806245,0.002978166,2407
288,1271,0.05,3,200,729,1,3.435,26138.9846,0.25078125,0.002901006,2391
289,1272,0.05,3,200,729,1,3.538,26163.01611,0.249190939,0.002963005,2399
290,1273,0.05,3,200,729,1,3.655,26057.51028,0.252066116,0.002949658,2367
