,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
1,1234,0.01,3,150,81,0,0.034,0,0.305555556,0.003740065,110
2,1235,0.01,3,150,81,0,0.017,0,0.379562044,0.002646326,86
3,1236,0.01,3,150,81,0,0.019,0,0.322834646,0.003419335,90
4,1237,0.01,3,150,81,0,0.012,0,0.353333333,0.00249571,96
5,1238,0.01,3,150,81,0,0.012,0,0.378205128,0.002029664,96
6,1239,0.01,3,150,81,0,0.024,0,0.388059701,0.001867123,81
7,1240,0.01,3,150,81,0,0.019,0,0.384615385,0.003265433,88
8,1241,0.01,3,150,81,0,0.011,0,0.315789474,0.003578096,98
9,1242,0.01,3,150,81,0,0.018,0,0.389312977,0.002643857,77
10,1243,0.01,3,150,81,0,0.011,0,0.324137931,0.002961347,94
11,1244,0.01,3,150,81,0,0.013,0,0.407407407,0.002334267,83
12,1245,0.01,3,150,81,0,0.011,0,0.409722222,0.002025869,89
13,1246,0.01,3,150,81,0,0.012,0,0.299363057,0.004059963,111
14,1247,0.01,3,150,81,0,0.023,0,0.393548387,0.002185451,94
15,1248,0.01,3,150,81,0,0.011,0,0.351351351,0.002962732,94
16,1249,0.01,3,150,81,0,0.017,0,0.360294118,0.001712062,81
17,1250,0.01,3,150,81,0,0.014,0,0.295454545,0.002644268,91
18,1251,0.01,3,150,81,0,0.013,0,0.431372549,0.002028714,86
19,1252,0.01,3,150,81,0,0.016,0,0.378787879,0.003110904,79
20,1253,0.01,3,150,81,0,0.016,0,0.335820896,0.002800685,86
21,1254,0.01,3,150,81,0,0.014,0,0.354609929,0.002647975,93
22,1255,0.01,3,150,81,0,0.01,0,0.372262774,0.001867995,76
23,1256,0.01,3,150,81,0,0.017,0,0.35915493,0.002959963,89
24,1257,0.01,3,150,81,0,0.017,0,0.3671875,0.002642624,83
25,1258,0.01,3,150,81,0,0.011,0,0.321678322,0.002804612,97
26,1259,0.01,3,150,81,0,0.012,0,0.351851852,0.002500391,105
27,1260,0.01,3,150,81,0,0.01,0,0.306451613,0.002796334,86
28,1261,0.01,3,150,81,0,0.018,0,0.346666667,0.002963656,101
29,1262,0.01,3,150,81,0,0.01,0,0.342857143,0.002647563,89
30,1263,0.01,3,150,81,0,0.025,0,0.357142857,0.002024607,83
31,1264,0.01,3,150,81,0,0.011,0,0.433333333,0.002639342,75
32,1265,0.01,3,150,81,0,0.016,0,0.314285714,0.002803302,101
33,1266,0.01,3,150,81,0,0.01,0,0.272727273,0.004206918,111
34,1267,0.01,3,150,81,0,0.012,0,0.375757576,0.00203252,102
35,1268,0.01,3,150,81,0,0.011,0,0.386861314,0.002646326,88
36,1269,0.01,3,150,81,0,0.011,0,0.27480916,0.003576983,97
37,1270,0.01,3,150,81,0,0.012,0,0.352564103,0.002185792,100
38,1271,0.01,3,150,81,0,0.019,0,0.368421053,0.002496489,90
39,1272,0.01,3,150,81,0,0.011,0,0.346153846,0.002954439,85
40,1273,0.01,3,150,81,0,0.011,0,0.394904459,0.001561524,90
41,1274,0.01,3,150,81,0,0.02,0,0.35,0.002030933,96
42,1275,0.01,3,150,81,0,0.011,0,0.436241611,0.002651279,90
43,1276,0.01,3,150,81,0,0.01,0,0.265734266,0.003272047,103
44,1277,0.01,3,150,81,0,0.038,0,0.361842105,0.002340459,97
45,1278,0.01,3,150,81,0,0.015,0,0.369565217,0.002023976,85
46,1279,0.01,3,150,81,0,0.016,0,0.367647059,0.003735409,89
47,1280,0.01,3,150,81,0,0.018,0,0.379310345,0.002493766,92
48,1281,0.01,3,150,81,0,0.01,0,0.352517986,0.002802865,92
49,1282,0.01,3,150,81,0,0.016,0,0.329113924,0.004060597,109
50,1283,0.01,3,150,81,0,0.013,0,0.339285714,0.003101256,79
101,1234,0.01,5,150,81,0,0.013,0,0.348623853,0.002522466,139
102,1235,0.01,5,150,81,0,0.026,0,0.343347639,0.001738306,152
103,1236,0.01,5,150,81,0,0.012,0,0.35483871,0.00204918,136
104,1237,0.01,5,150,81,0,0.02,0,0.391304348,0.001731193,128
105,1238,0.01,5,150,81,0,0.013,0,0.314814815,0.002521671,145
106,1239,0.01,5,150,81,0,0.011,0,0.317948718,0.002513352,133
107,1240,0.01,5,150,81,0,0.021,0,0.361386139,0.000786287,125
108,1241,0.01,5,150,81,0,0.012,0,0.37,0.002515328,126
109,1242,0.01,5,150,81,0,0.023,0,0.348623853,0.002049503,139
110,1243,0.01,5,150,81,0,0.018,0,0.32034632,0.00300158,156
111,1244,0.01,5,150,81,0,0.012,0,0.357843137,0.00204499,133
112,1245,0.01,5,150,81,0,0.014,0,0.340206186,0.002355898,133
113,1246,0.01,5,150,81,0,0.012,0,0.322033898,0.001897233,156
114,1247,0.01,5,150,81,0,0.013,0,0.336283186,0.002052092,147
115,1248,0.01,5,150,81,0,0.015,0,0.29245283,0.002677587,155
116,1249,0.01,5,150,81,0,0.015,0,0.339285714,0.001735837,147
117,1250,0.01,5,150,81,0,0.011,0,0.285067873,0.001892744,157
118,1251,0.01,5,150,81,0,0.019,0,0.330275229,0.001734195,143
119,1252,0.01,5,150,81,0,0.013,0,0.282700422,0.003004428,174
120,1253,0.01,5,150,81,0,0.039,0,0.353773585,0.001890061,135
121,1254,0.01,5,150,81,0,0.022,0,0.417085427,0.001414649,116
122,1255,0.01,5,150,81,0,0.024,0,0.334951456,0.002832415,135
123,1256,0.01,5,150,81,0,0.021,0,0.37037037,0.002040176,122
124,1257,0.01,5,150,81,0,0.02,0,0.336633663,0.002201604,132
125,1258,0.01,5,150,81,0,0.026,0,0.351351351,0.002050797,142
126,1259,0.01,5,150,81,0,0.017,0,0.315315315,0.002524057,152
127,1260,0.01,5,150,81,0,0.012,0,0.33,0.002200912,132
128,1261,0.01,5,150,81,0,0.02,0,0.374384236,0.001887386,120
129,1262,0.01,5,150,81,0,0.013,0,0.347222222,0.002206462,139
130,1263,0.01,5,150,81,0,0.026,0,0.32718894,0.00220681,149
131,1264,0.01,5,150,81,0,0.012,0,0.350961538,0.002203683,133
132,1265,0.01,5,150,81,0,0.013,0,0.325358852,0.002361461,140
133,1266,0.01,5,150,81,0,0.018,0,0.4,0.002200912,122
134,1267,0.01,5,150,81,0,0.012,0,0.324444444,0.001420455,142
135,1268,0.01,5,150,81,0,0.013,0,0.352941176,0.002050473,146
136,1269,0.01,5,150,81,0,0.012,0,0.330472103,0.002686473,158
137,1270,0.01,5,150,81,0,0.02,0,0.350649351,0.001579779,150
138,1271,0.01,5,150,81,0,0.012,0,0.306532663,0.002514932,135
139,1272,0.01,5,150,81,0,0.014,0,0.368421053,0.002676322,132
140,1273,0.01,5,150,81,0,0.013,0,0.368159204,0.002358491,128
141,1274,0.01,5,150,81,0,0.011,0,0.278606965,0.002515723,144
142,1275,0.01,5,150,81,0,0.019,0,0.317391304,0.001895435,153
143,1276,0.01,5,150,81,0,0.012,0,0.328828829,0.001893043,146
144,1277,0.01,5,150,81,0,0.017,0,0.344827586,0.002359232,133
145,1278,0.01,5,150,81,0,0.02,0,0.376744186,0.002678853,134
146,1279,0.01,5,150,81,0,0.023,0,0.397959184,0.000785546,112
147,1280,0.01,5,150,81,0,0.012,0,0.32300885,0.001578532,149
148,1281,0.01,5,150,81,0,0.205,0,0.331858407,0.001578532,146
149,1282,0.01,5,150,81,0,0.012,0,0.356097561,0.002045312,136
150,1283,0.01,5,150,81,0,0.016,0,0.347222222,0.002048857,144
201,1234,0.01,3,150,81,1,0.011,324.1209046,0.166666667,0.004519246,127
202,1235,0.01,3,150,81,1,0.011,321.4602379,0.167883212,0.005136986,125
203,1236,0.01,3,150,81,1,0.011,327.7483448,0.236220472,0.005439851,110
204,1237,0.01,3,150,81,1,0.011,320.8237545,0.226666667,0.004211511,122
205,1238,0.01,3,150,81,1,0.018,323.0094751,0.217948718,0.003747073,124
206,1239,0.01,3,150,81,1,0.01,328.1486635,0.186567164,0.004823401,120
207,1240,0.01,3,150,81,1,0.022,316.7408957,0.161538462,0.005908879,124
208,1241,0.01,3,150,81,1,0.01,322.6072473,0.195488722,0.004667082,114
209,1242,0.01,3,150,81,1,0.021,314.5100777,0.244274809,0.004043546,98
210,1243,0.01,3,150,81,1,0.011,317.3301841,0.193103448,0.00436409,124
211,1244,0.01,3,150,81,1,0.177,317.4723822,0.288888889,0.003579209,106
212,1245,0.01,3,150,81,1,0.013,326.9299111,0.166666667,0.005298426,135
213,1246,0.01,3,150,81,1,0.011,326.5197645,0.178343949,0.004840725,134
214,1247,0.01,3,150,81,1,0.011,316.3104586,0.15483871,0.005307524,141
215,1248,0.01,3,150,81,1,0.015,320.3716991,0.189189189,0.004677998,125
216,1249,0.01,3,150,81,1,0.018,325.1332094,0.169117647,0.004513619,122
217,1250,0.01,3,150,81,1,0.01,316.9171146,0.143939394,0.005132991,122
218,1251,0.01,3,150,81,1,0.01,313.6271809,0.241830065,0.003901373,127
219,1252,0.01,3,150,81,1,0.018,319.896383,0.310606061,0.003733084,95
220,1253,0.01,3,150,81,1,0.011,321.0446821,0.208955224,0.004045433,109
221,1254,0.01,3,150,81,1,0.01,309.5395328,0.19858156,0.003738318,118
222,1255,0.01,3,150,81,1,0.016,313.2680046,0.211678832,0.00373599,111
223,1256,0.01,3,150,81,1,0.01,319.6830835,0.232394366,0.00436205,115
224,1257,0.01,3,150,81,1,0.011,322.0457677,0.15625,0.005751593,123
225,1258,0.01,3,150,81,1,0.011,325.9237019,0.167832168,0.0052976,124
226,1259,0.01,3,150,81,1,0.011,328.6184004,0.172839506,0.005000781,140
227,1260,0.01,3,150,81,1,0.01,315.9316807,0.153225806,0.004660556,113
228,1261,0.01,3,150,81,1,0.011,322.4846074,0.193333333,0.004367493,128
229,1262,0.01,3,150,81,1,0.014,321.4662402,0.192857143,0.00451643,114
230,1263,0.01,3,150,81,1,0.016,315.4688588,0.228571429,0.004049214,107
231,1264,0.01,3,150,81,1,0.011,317.4127447,0.241666667,0.004657662,103
232,1265,0.01,3,150,81,1,0.011,318.0151169,0.192857143,0.003737736,116
233,1266,0.01,3,150,81,1,0.014,311.7679598,0.188811189,0.004518542,123
234,1267,0.01,3,150,81,1,0.011,330.590645,0.187878788,0.003908693,144
235,1268,0.01,3,150,81,1,0.011,320.3584259,0.197080292,0.004825654,121
236,1269,0.01,3,150,81,1,0.011,322.7912531,0.190839695,0.004976672,122
237,1270,0.01,3,150,81,1,0.01,326.9113733,0.166666667,0.004215457,140
238,1271,0.01,3,150,81,1,0.012,326.164389,0.210526316,0.004524887,125
239,1272,0.01,3,150,81,1,0.01,323.3922619,0.176923077,0.004664904,112
240,1273,0.01,3,150,81,1,0.011,324.7485109,0.261146497,0.003747658,122
241,1274,0.01,3,150,81,1,0.034,316.8878455,0.1875,0.003280737,124
242,1275,0.01,3,150,81,1,0.022,323.607743,0.241610738,0.004054897,118
243,1276,0.01,3,150,81,1,0.017,317.7759514,0.188811189,0.004051106,112
244,1277,0.01,3,150,81,1,0.012,318.946062,0.236842105,0.004212826,126
245,1278,0.01,3,150,81,1,0.012,320.4064432,0.282608696,0.003736572,107
246,1279,0.01,3,150,81,1,0.023,329.4841812,0.235294118,0.004980545,112
247,1280,0.01,3,150,81,1,0.018,309.1251946,0.24137931,0.002961347,114
248,1281,0.01,3,150,81,1,0.017,321.1280375,0.258992806,0.004671442,113
249,1282,0.01,3,150,81,1,0.017,323.4167103,0.215189873,0.004685304,133
250,1283,0.01,3,150,81,1,0.017,318.8258109,0.214285714,0.00496201,109
301,1234,0.01,5,150,81,1,0.011,331.3995429,0.220183486,0.003783699,176
302,1235,0.01,5,150,81,1,0.018,335.7694984,0.175965665,0.004740834,202
303,1236,0.01,5,150,81,1,0.018,340.6237923,0.175115207,0.004728878,186
304,1237,0.01,5,150,81,1,0.011,325.2414741,0.178743961,0.004091911,177
305,1238,0.01,5,150,81,1,0.018,331.459323,0.162037037,0.004570528,187
306,1239,0.01,5,150,81,1,0.011,323.9928321,0.174358974,0.004398366,173
307,1240,0.01,5,150,81,1,0.013,323.8838286,0.242574257,0.003145149,158
308,1241,0.01,5,150,81,1,0.018,322.323766,0.19,0.004559032,167
309,1242,0.01,5,150,81,1,0.018,331.7182413,0.224770642,0.003626044,178
310,1243,0.01,5,150,81,1,0.013,321.8513664,0.238095238,0.003317536,182
311,1244,0.01,5,150,81,1,0.011,325.978305,0.18627451,0.002988831,169
312,1245,0.01,5,150,81,1,0.01,332.9704838,0.164948454,0.004554735,181
313,1246,0.01,5,150,81,1,0.018,330.2617441,0.211864407,0.004268775,199
314,1247,0.01,5,150,81,1,0.011,331.2875451,0.154867257,0.004104183,189
315,1248,0.01,5,150,81,1,0.018,335.0684836,0.160377358,0.005197669,192
316,1249,0.01,5,150,81,1,0.011,316.6689216,0.227678571,0.002524854,174
317,1250,0.01,5,150,81,1,0.011,325.654432,0.20361991,0.004731861,187
318,1251,0.01,5,150,81,1,0.011,323.805898,0.19266055,0.003783699,181
319,1252,0.01,5,150,81,1,0.011,327.4137453,0.151898734,0.00426945,207
320,1253,0.01,5,150,81,1,0.011,327.34379,0.179245283,0.004882659,186
321,1254,0.01,5,150,81,1,0.024,326.2978594,0.211055276,0.004243948,172
322,1255,0.01,5,150,81,1,0.011,316.4706609,0.189320388,0.00440598,170
323,1256,0.01,5,150,81,1,0.017,320.6608349,0.216931217,0.004551161,161
324,1257,0.01,5,150,81,1,0.014,323.5963504,0.163366337,0.004403208,177
325,1258,0.01,5,150,81,1,0.019,320.7530654,0.22972973,0.002681811,169
326,1259,0.01,5,150,81,1,0.011,330.7129444,0.18018018,0.0044171,191
327,1260,0.01,5,150,81,1,0.017,331.0632972,0.175,0.00471624,175
328,1261,0.01,5,150,81,1,0.011,330.9047568,0.192118227,0.004718465,178
329,1262,0.01,5,150,81,1,0.019,325.9348148,0.226851852,0.004570528,174
330,1263,0.01,5,150,81,1,0.011,331.2874727,0.152073733,0.004413619,193
331,1264,0.01,5,150,81,1,0.011,331.8342288,0.177884615,0.004564773,178
332,1265,0.01,5,150,81,1,0.012,332.5055462,0.19138756,0.00425063,184
333,1266,0.01,5,150,81,1,0.018,326.785977,0.265,0.002829744,150
334,1267,0.01,5,150,81,1,0.017,326.7030244,0.142222222,0.005050505,198
335,1268,0.01,5,150,81,1,0.012,324.1193486,0.199095023,0.004258675,189
336,1269,0.01,5,150,81,1,0.015,340.2970378,0.158798283,0.005372946,210
337,1270,0.01,5,150,81,1,0.012,335.7492218,0.19047619,0.003317536,195
338,1271,0.01,5,150,81,1,0.011,318.3221555,0.201005025,0.004243948,167
339,1272,0.01,5,150,81,1,0.018,339.1833743,0.200956938,0.004565491,183
340,1273,0.01,5,150,81,1,0.012,320.8022829,0.189054726,0.004559748,175
341,1274,0.01,5,150,81,1,0.015,320.2681501,0.164179104,0.005031447,180
342,1275,0.01,5,150,81,1,0.011,332.4146534,0.143478261,0.004422682,201
343,1276,0.01,5,150,81,1,0.012,318.9273697,0.184684685,0.004732608,187
344,1277,0.01,5,150,81,1,0.018,319.4020014,0.167487685,0.004718465,180
345,1278,0.01,5,150,81,1,0.019,329.6335283,0.204651163,0.003939489,177
346,1279,0.01,5,150,81,1,0.011,322.3220375,0.265306122,0.002670856,148
347,1280,0.01,5,150,81,1,0.01,334.1127663,0.14159292,0.005367009,203
348,1281,0.01,5,150,81,1,0.011,334.4621603,0.154867257,0.00441989,200
349,1282,0.01,5,150,81,1,0.017,322.4049804,0.190243902,0.004877281,178
350,1283,0.01,5,150,81,1,0.011,324.1892808,0.226851852,0.004255319,179
401,1234,0.01,3,150,81,2,0.056,253.176614,0.361111111,0.004830918,111
402,1235,0.01,3,150,81,2,0.07,247.5051651,0.386861314,0.007004981,114
403,1236,0.01,3,150,81,2,0.072,246.2336643,0.322834646,0.006061548,111
404,1237,0.01,3,150,81,2,0.072,256.0588068,0.36,0.005147403,113
405,1238,0.01,3,150,81,2,0.064,249.9622323,0.371794872,0.003590945,108
406,1239,0.01,3,150,81,2,0.063,251.1008003,0.380597015,0.004823401,106
407,1240,0.01,3,150,81,2,0.056,248.9278268,0.346153846,0.006375369,113
408,1241,0.01,3,150,81,2,0.056,251.6876733,0.353383459,0.006067206,111
409,1242,0.01,3,150,81,2,0.07,252.1659783,0.435114504,0.004510109,91
410,1243,0.01,3,150,81,2,0.193,245.4107458,0.372413793,0.004987531,106
411,1244,0.01,3,150,81,2,0.055,248.6769583,0.37037037,0.004357298,99
412,1245,0.01,3,150,81,2,0.062,252.3507703,0.409722222,0.004519246,106
413,1246,0.01,3,150,81,2,0.064,249.9081655,0.343949045,0.004840725,117
414,1247,0.01,3,150,81,2,0.064,251.9851213,0.367741935,0.004370902,113
415,1248,0.01,3,150,81,2,0.058,250.0889321,0.371621622,0.004522065,107
416,1249,0.01,3,150,81,2,0.055,252.2309196,0.360294118,0.005914397,108
417,1250,0.01,3,150,81,2,0.061,256.7629889,0.287878788,0.005910717,114
418,1251,0.01,3,150,81,2,0.062,248.4693212,0.366013072,0.004681648,112
419,1252,0.01,3,150,81,2,0.069,254.8497591,0.409090909,0.004666356,93
420,1253,0.01,3,150,81,2,0.191,254.6776579,0.388059701,0.00388984,91
421,1254,0.01,3,150,81,2,0.051,243.0212111,0.397163121,0.003894081,101
422,1255,0.01,3,150,81,2,0.056,251.4188417,0.379562044,0.004669988,97
423,1256,0.01,3,150,81,2,0.07,252.3179199,0.373239437,0.00560835,109
424,1257,0.01,3,150,81,2,0.068,252.5426252,0.3515625,0.006373387,110
425,1258,0.01,3,150,81,2,0.06,251.8265267,0.370629371,0.0052976,107
426,1259,0.01,3,150,81,2,0.055,251.0932867,0.37654321,0.004531958,119
427,1260,0.01,3,150,81,2,0.071,250.412664,0.330645161,0.005126612,98
428,1261,0.01,3,150,81,2,0.061,256.4856371,0.32,0.005615349,124
429,1262,0.01,3,150,81,2,0.197,255.4554344,0.364285714,0.00607382,109
430,1263,0.01,3,150,81,2,0.048,245.9728633,0.378571429,0.004360691,99
431,1264,0.01,3,150,81,2,0.049,246.2567328,0.416666667,0.005278683,95
432,1265,0.01,3,150,81,2,0.056,248.7839858,0.321428571,0.005139386,116
433,1266,0.01,3,150,81,2,0.057,249.6300561,0.328671329,0.004985977,117
434,1267,0.01,3,150,81,2,0.05,256.7355492,0.381818182,0.005315822,124
435,1268,0.01,3,150,81,2,0.048,247.6044289,0.350364964,0.005603985,109
436,1269,0.01,3,150,81,2,0.054,257.0914604,0.34351145,0.004821151,106
437,1270,0.01,3,150,81,2,0.056,254.887559,0.378205128,0.004996097,119
438,1271,0.01,3,150,81,2,0.05,249.3781997,0.361842105,0.005617101,113
439,1272,0.01,3,150,81,2,0.049,260.4003254,0.353846154,0.005286892,106
440,1273,0.01,3,150,81,2,0.049,256.9331846,0.363057325,0.00452842,114
441,1274,0.01,3,150,81,2,0.056,245.3028946,0.3375,0.006405249,129
442,1275,0.01,3,150,81,2,0.056,256.5882023,0.429530201,0.004990643,107
443,1276,0.01,3,150,81,2,0.057,255.3362,0.307692308,0.005453412,118
444,1277,0.01,3,150,81,2,0.05,253.2564365,0.381578947,0.006397254,122
445,1278,0.01,3,150,81,2,0.049,253.8785004,0.362318841,0.004982096,106
446,1279,0.01,3,150,81,2,0.055,252.1381168,0.411764706,0.005447471,104
447,1280,0.01,3,150,81,2,0.056,243.4395436,0.386206897,0.004831671,109
448,1281,0.01,3,150,81,2,0.054,248.7308576,0.374100719,0.004048583,99
449,1282,0.01,3,150,81,2,0.056,252.5657907,0.341772152,0.004841481,117
450,1283,0.01,3,150,81,2,0.055,254.3961252,0.348214286,0.006202512,102
501,1234,0.01,5,150,81,2,0.083,254.2242319,0.380733945,0.003941353,147
502,1235,0.01,5,150,81,2,0.068,256.1452769,0.309012876,0.004266751,175
503,1236,0.01,5,150,81,2,0.068,253.6653211,0.350230415,0.004886507,161
504,1237,0.01,5,150,81,2,0.059,249.5085542,0.328502415,0.00535096,160
505,1238,0.01,5,150,81,2,0.058,258.4713674,0.342592593,0.004255319,158
506,1239,0.01,5,150,81,2,0.073,249.389187,0.38974359,0.00486962,141
507,1240,0.01,5,150,81,2,0.065,248.4243973,0.361386139,0.004245951,147
508,1241,0.01,5,150,81,2,0.061,247.2616405,0.355,0.004873448,145
509,1242,0.01,5,150,81,2,0.081,255.1384743,0.380733945,0.00346839,148
510,1243,0.01,5,150,81,2,0.235,255.8240475,0.367965368,0.003791469,156
511,1244,0.01,5,150,81,2,0.071,249.7227513,0.343137255,0.004247286,155
512,1245,0.01,5,150,81,2,0.063,254.7052149,0.365979381,0.004554735,146
513,1246,0.01,5,150,81,2,0.065,245.5944974,0.338983051,0.003794466,169
514,1247,0.01,5,150,81,2,0.062,253.4510574,0.345132743,0.00347277,156
515,1248,0.01,5,150,81,2,0.057,255.819688,0.297169811,0.004725154,166
516,1249,0.01,5,150,81,2,0.057,243.1118999,0.339285714,0.003629478,162
517,1250,0.01,5,150,81,2,0.053,248.8962351,0.34841629,0.004100946,161
518,1251,0.01,5,150,81,2,0.073,254.0606748,0.316513761,0.004729623,166
519,1252,0.01,5,150,81,2,0.063,254.8985907,0.278481013,0.003795066,183
520,1253,0.01,5,150,81,2,0.065,259.7977781,0.33490566,0.004410143,158
521,1254,0.01,5,150,81,2,0.059,249.5509551,0.396984925,0.003143666,135
522,1255,0.01,5,150,81,2,0.056,255.629088,0.359223301,0.004248623,146
523,1256,0.01,5,150,81,2,0.056,245.3886622,0.375661376,0.003923415,136
524,1257,0.01,5,150,81,2,0.062,257.4606681,0.341584158,0.004245951,144
525,1258,0.01,5,150,81,2,0.068,248.8328773,0.369369369,0.004101593,153
