"","seed","alpha","deg","n","d","method","time","sig_diff","TPR","FPR","SHM"
"1",1234,0.01,3,50,9,0,0.00699999998323619,0,0.285714285714286,0.0298507462686567,9
"2",1235,0.01,3,50,9,0,0.00199999997857958,0,0.157894736842105,0.0161290322580645,13
"3",1236,0.01,3,50,9,0,0.00300000002607703,0,0.142857142857143,0.0298507462686567,14
"4",1237,0.01,3,50,9,0,0.00300000002607703,0,0.25,0.0163934426229508,9
"5",1238,0.01,3,50,9,0,0.00300000002607703,0,0.125,0,13
"6",1239,0.01,3,50,9,0,0.00300000002607703,0,0.166666666666667,0,5
"7",1240,0.01,3,50,9,0,0.0020000000949949,0,0.133333333333333,0.0303030303030303,13
"8",1241,0.01,3,50,9,0,0.00300000002607703,0,0.357142857142857,0.0447761194029851,12
"9",1242,0.01,3,50,9,0,0.00399999995715916,0,0.333333333333333,0.0289855072463768,9
"10",1243,0.01,3,50,9,0,0.00300000002607703,0,0.222222222222222,0.0317460317460317,15
"11",1244,0.01,3,50,9,0,0.00300000002607703,0,0.2,0.0151515151515152,12
"12",1245,0.01,3,50,9,0,0.00300000002607703,0,0.0666666666666667,0.0151515151515152,14
"13",1246,0.01,3,50,9,0,0.00199999997857958,0,0.0769230769230769,0.0147058823529412,11
"14",1247,0.01,3,50,9,0,0.00199999997857958,0,0.0769230769230769,0,17
"15",1248,0.01,3,50,9,0,0.00100000004749745,0,0,0,10
"16",1249,0.01,3,50,9,0,0.00300000002607703,0,0,0.0289855072463768,12
"17",1250,0.01,3,50,9,0,0.00299999990966171,0,0.294117647058824,0.03125,12
"18",1251,0.01,3,50,9,0,0.00299999990966171,0,0.0454545454545455,0.0508474576271186,17
"19",1252,0.01,3,50,9,0,0.00199999997857958,0,0.117647058823529,0.03125,16
"20",1253,0.01,3,50,9,0,0.00199999997857958,0,0.1,0.0327868852459016,17
"21",1254,0.01,3,50,9,0,0.00300000002607703,0,0.111111111111111,0.0317460317460317,14
"22",1255,0.01,3,50,9,0,0.00199999997857958,0,0.0666666666666667,0.0151515151515152,12
"23",1256,0.01,3,50,9,0,0.00199999997857958,0,0.2,0.0454545454545455,13
"24",1257,0.01,3,50,9,0,0.00199999997857958,0,0.2,0.028169014084507,7
"25",1258,0.01,3,50,9,0,0.00199999997857958,0,0.0869565217391304,0,16
"26",1259,0.01,3,50,9,0,0.0020000000949949,0,0.166666666666667,0.0175438596491228,18
"27",1260,0.01,3,50,9,0,0.00199999997857958,0,0.111111111111111,0.0138888888888889,8
"28",1261,0.01,3,50,9,0,0.00199999997857958,0,0.166666666666667,0.0579710144927536,13
"29",1262,0.01,3,50,9,0,0.0020000000949949,0,0.142857142857143,0,9
"30",1263,0.01,3,50,9,0,0.0020000000949949,0,0.19047619047619,0.0333333333333333,18
"31",1264,0.01,3,50,9,0,0.00300000002607703,0,0.272727272727273,0.0428571428571429,10
"32",1265,0.01,3,50,9,0,0.00099999993108213,0,0,0,14
"33",1266,0.01,3,50,9,0,0.00299999990966171,0,0.176470588235294,0.015625,12
"34",1267,0.01,3,50,9,0,0.00800000003073364,0,0.0967741935483871,0.02,23
"35",1268,0.01,3,50,9,0,0.00199999997857958,0,0.333333333333333,0.0289855072463768,10
"36",1269,0.01,3,50,9,0,0.0020000000949949,0,0.111111111111111,0.0317460317460317,15
"37",1270,0.01,3,50,9,0,0.0020000000949949,0,0.227272727272727,0.0169491525423729,12
"38",1271,0.01,3,50,9,0,0.00199999997857958,0,0.0952380952380952,0.0333333333333333,17
"39",1272,0.01,3,50,9,0,0.00300000002607703,0,0.277777777777778,0.0158730158730159,12
"40",1273,0.01,3,50,9,0,0.00199999997857958,0,0.210526315789474,0,12
"41",1274,0.01,3,50,9,0,0.00300000002607703,0,0.15,0.0163934426229508,12
"42",1275,0.01,3,50,9,0,0.0020000000949949,0,0.25,0.0144927536231884,9
"43",1276,0.01,3,50,9,0,0.00299999990966171,0,0.0714285714285714,0.0149253731343284,13
"44",1277,0.01,3,50,9,0,0.00199999997857958,0,0.125,0,14
"45",1278,0.01,3,50,9,0,0.00199999997857958,0,0.277777777777778,0.0476190476190476,12
"46",1279,0.01,3,50,9,0,0.0020000000949949,0,0.125,0.0307692307692308,15
"47",1280,0.01,3,50,9,0,0.0020000000949949,0,0.2,0.0178571428571429,14
"48",1281,0.01,3,50,9,0,0.00199999997857958,0,0.148148148148148,0.037037037037037,19
"49",1282,0.01,3,50,9,0,0.00199999997857958,0,0.08,0,17
"50",1283,0.01,3,50,9,0,0.0020000000949949,0,0.142857142857143,0.0298507462686567,12
"51",1234,0.01,5,50,9,0,0.00199999997857958,0,0.0606060606060606,0,23
"52",1235,0.01,5,50,9,0,0.00300000002607703,0,0.04,0.0178571428571429,23
"53",1236,0.01,5,50,9,0,0.00199999997857958,0,0.0967741935483871,0.02,22
"54",1237,0.01,5,50,9,0,0.00199999997857958,0,0.142857142857143,0.0188679245283019,22
"55",1238,0.01,5,50,9,0,0.00199999997857958,0,0.08,0.0357142857142857,25
"56",1239,0.01,5,50,9,0,0.00199999997857958,0,0.137931034482759,0.0384615384615385,24
"57",1240,0.01,5,50,9,0,0.00199999997857958,0,0.027027027027027,0.0227272727272727,26
"58",1241,0.01,5,50,9,0,0.00199999997857958,0,0.12,0.0892857142857143,24
"59",1242,0.01,5,50,9,0,0.00600000005215406,0,0.0909090909090909,0.0416666666666667,24
"60",1243,0.01,5,50,9,0,0.00099999993108213,0,0.0344827586206897,0.0192307692307692,25
"61",1244,0.01,5,50,9,0,0.00800000003073364,0,0.0967741935483871,0.06,27
"62",1245,0.01,5,50,9,0,0.00300000002607703,0,0.0833333333333333,0.0701754385964912,21
"63",1246,0.01,5,50,9,0,0.00300000002607703,0,0.129032258064516,0.04,27
"64",1247,0.01,5,50,9,0,0.00399999995715916,0,0.230769230769231,0.0363636363636364,20
"65",1248,0.01,5,50,9,0,0.00300000002607703,0,0.161290322580645,0.02,18
"66",1249,0.01,5,50,9,0,0.00299999990966171,0,0.1,0.0196078431372549,25
"67",1250,0.01,5,50,9,0,0.00300000002607703,0,0.136363636363636,0.0508474576271186,19
"68",1251,0.01,5,50,9,0,0.0150000000139698,0,0.115384615384615,0.0545454545454545,23
"69",1252,0.01,5,50,9,0,0.0020000000949949,0,0.12,0.0535714285714286,22
"70",1253,0.01,5,50,9,0,0.0020000000949949,0,0.2,0.0151515151515152,13
"71",1254,0.01,5,50,9,0,0.0020000000949949,0,0.0714285714285714,0.0754716981132075,24
"72",1255,0.01,5,50,9,0,0.0020000000949949,0,0.148148148148148,0.0740740740740741,20
"73",1256,0.01,5,50,9,0,0.00199999997857958,0,0.105263157894737,0.0465116279069767,27
"74",1257,0.01,5,50,9,0,0.00300000002607703,0,0.0833333333333333,0.0303030303030303,29
"75",1258,0.01,5,50,9,0,0.00300000002607703,0,0.0740740740740741,0.037037037037037,20
"76",1259,0.01,5,50,9,0,0.00300000002607703,0,0.210526315789474,0.032258064516129,14
"77",1260,0.01,5,50,9,0,0.00300000002607703,0,0.0357142857142857,0.0566037735849057,27
"78",1261,0.01,5,50,9,0,0.00199999997857958,0,0.0967741935483871,0.02,24
"79",1262,0.01,5,50,9,0,0.00199999997857958,0,0.103448275862069,0.0384615384615385,22
"80",1263,0.01,5,50,9,0,0.00299999990966171,0,0.0869565217391304,0.0689655172413793,20
"81",1264,0.01,5,50,9,0,0.00299999990966171,0,0.0645161290322581,0.04,23
"82",1265,0.01,5,50,9,0,0.00199999997857958,0,0.08,0.0357142857142857,24
"83",1266,0.01,5,50,9,0,0.00300000002607703,0,0.125,0.0175438596491228,18
"84",1267,0.01,5,50,9,0,0.0020000000949949,0,0.0869565217391304,0.0344827586206897,19
"85",1268,0.01,5,50,9,0,0.00199999997857958,0,0.121212121212121,0,24
"86",1269,0.01,5,50,9,0,0.00199999997857958,0,0.0833333333333333,0.0526315789473684,23
"87",1270,0.01,5,50,9,0,0.00199999997857958,0,0.12,0.0535714285714286,24
"88",1271,0.01,5,50,9,0,0.00199999997857958,0,0.166666666666667,0.0350877192982456,17
"89",1272,0.01,5,50,9,0,0.00199999997857958,0,0.125,0.0175438596491228,22
"90",1273,0.01,5,50,9,0,0.00300000002607703,0,0,0.0357142857142857,25
"91",1274,0.01,5,50,9,0,0.00199999997857958,0,0.125,0.0175438596491228,16
"92",1275,0.01,5,50,9,0,0.00799999991431832,0,0.08,0.0535714285714286,21
"93",1276,0.01,5,50,9,0,0.00199999997857958,0,0.121212121212121,0.0416666666666667,25
"94",1277,0.01,5,50,9,0,0.00300000002607703,0,0.208333333333333,0.0175438596491228,18
"95",1278,0.01,5,50,9,0,0.0020000000949949,0,0.0833333333333333,0,19
"96",1279,0.01,5,50,9,0,0.00199999997857958,0,0.24,0,18
"97",1280,0.01,5,50,9,0,0.00199999997857958,0,0.185185185185185,0.0185185185185185,18
"98",1281,0.01,5,50,9,0,0.00199999997857958,0,0.0952380952380952,0.0666666666666667,19
"99",1282,0.01,5,50,9,0,0.00199999997857958,0,0.166666666666667,0.0476190476190476,17
"100",1283,0.01,5,50,9,0,0.00300000002607703,0,0.103448275862069,0.0384615384615385,22
"101",1234,0.01,3,50,9,1,0.0020000000949949,7.37718100603384,0.142857142857143,0,9
"102",1235,0.01,3,50,9,1,0.00300000002607703,7.73992547057912,0.0526315789473684,0.0161290322580645,14
