"","seed","alpha","deg","n","d","method","time","sig_diff","TPR","FPR","SHM"
"1",1234,0.05,3,200,2187,0,599.543,0,0.445547140245495,0.00105290910080056,6919
"2",1235,0.05,3,200,2187,0,530.708,0,0.445487741262389,0.00103219515665492,6858
"3",1236,0.05,3,200,2187,0,565.016,0,0.45125199786894,0.00104117517207324,6826
"4",1237,0.05,3,200,2187,0,504.011,0,0.449759486905398,0.0010311290926336,6765
"5",1238,0.05,3,200,2187,0,549.376,0,0.464352972827549,0.00102924055898287,6703
"6",1239,0.05,3,200,2187,0,574.374,0,0.459858001092299,0.00105161689759624,6813
"7",1240,0.05,3,200,2187,0,560.185,0,0.452452726774459,0.00105349715022221,6819
"8",1241,0.05,3,200,2187,0,515.932,0,0.450263157894737,0.00103762808973694,6820
"9",1242,0.05,3,200,2187,0,506.164,0,0.455516014234875,0.00104701174812463,6775
"10",1243,0.05,3,200,2187,0,509.391,0,0.456740976645435,0.00103322710218716,6747
"11",1244,0.05,3,200,2187,0,585.084,0,0.454036770583533,0.00103343309865049,6745
"12",1245,0.05,3,200,2187,0,537.043,0,0.456017269293038,0.00102777352909852,6691
"13",1246,0.05,3,200,2187,0,570.886,0,0.454253611556982,0.00103887006089473,6797
"14",1247,0.05,3,200,2187,0,550.092,0,0.453120849933599,0.00103050633536463,6772
"15",1248,0.05,3,200,2187,0,580.914,0,0.448156987536462,0.00103490167178677,6813
"16",1249,0.05,3,200,2187,0,515.753,0,0.454196379594076,0.00104931179583385,6804
"17",1250,0.05,3,200,2187,0,386.219,0,0.458299812282113,0.00103405562390673,6741
"18",1251,0.05,3,200,2187,0,561.127,0,0.458760107816712,0.00102714667692209,6721
"19",1252,0.05,3,200,2187,0,577.254,0,0.451690178333777,0.00103385244262025,6774
"20",1253,0.05,3,200,2187,0,575.191,0,0.453174603174603,0.00102276767041437,6750
"21",1254,0.05,3,200,2187,0,486.897,0,0.463362643218758,0.00102757439713961,6723
"22",1255,0.05,3,200,2187,0,535.717,0,0.461559358869872,0.00104346086697433,6745
"23",1256,0.05,3,200,2187,0,563.233,0,0.445382585751979,0.00104955265329045,6871
"24",1257,0.05,3,200,2187,0,544.077,0,0.454497354497355,0.0010311372912852,6755
"25",1258,0.05,3,200,2187,0,606.349,0,0.466267257098203,0.00101252738469136,6671
"26",1259,0.05,3,200,2187,0,539.504,0,0.462820852077269,0.00101774568493824,6679
"27",1260,0.05,3,200,2187,0,571.919,0,0.463062098501071,0.00102673378761822,6719
"28",1261,0.05,3,200,2187,0,485.84,0,0.448349879259458,0.00103405519117885,6775
"29",1262,0.05,3,200,2187,0,523.865,0,0.440021373230029,0.00105791188782451,6922
"30",1263,0.05,3,200,2187,0,560.509,0,0.456415809420682,0.00104722996688828,6781
"31",1264,0.05,3,200,2187,0,607.233,0,0.454819277108434,0.00104701152905321,6781
"32",1265,0.05,3,200,2187,0,496.372,0,0.453361125586243,0.0010382640693465,6825
"33",1266,0.05,3,200,2187,0,531.86,0,0.459989401165872,0.00101920930198496,6700
"34",1267,0.05,3,200,2187,0,512.766,0,0.470919324577861,0.00102212946917479,6666
"35",1268,0.05,3,200,2187,0,583.035,0,0.454643628509719,0.00104325665138886,6786
"36",1269,0.05,3,200,2187,0,537.057,0,0.452860596293312,0.00102380166243797,6730
"37",1270,0.05,3,200,2187,0,499.163,0,0.448168355416991,0.00103596478012689,6853
"38",1271,0.05,3,200,2187,0,535.949,0,0.457782573509576,0.00104200188229898,6792
"39",1272,0.05,3,200,2187,0,540.543,0,0.454569327731092,0.0010273769810224,6762
"40",1273,0.05,3,200,2187,0,528.217,0,0.453761755485893,0.00102989219192319,6763
"41",1274,0.05,3,200,2187,0,454.976,0,0.460359408033827,0.00102360548922044,6713
"42",1275,0.05,3,200,2187,0,528.947,0,0.454004329004329,0.00102567901017582,6733
"43",1276,0.05,3,200,2187,0,590.823,0,0.458277792588643,0.00104263919327388,6802
"44",1277,0.05,3,200,2187,0,509.228,0,0.457725947521866,0.00102151073109368,6726
"45",1278,0.05,3,200,2187,0,486.787,0,0.455357142857143,0.00103093409073266,6779
"46",1279,0.05,3,200,2187,0,529.468,0,0.455429497568882,0.00103990842110307,6758
"47",1280,0.05,3,200,2187,0,559.994,0,0.459029871197588,0.0010480570457722,6763
"48",1281,0.05,3,200,2187,0,543.844,0,0.453662378577054,0.00102465705270382,6742
"49",1282,0.05,3,200,2187,0,511.142,0,0.437852348993289,0.00105351390303571,6895
"50",1283,0.05,3,200,2187,0,541.534,0,0.461538461538462,0.00103950190951981,6793
"51",1234,0.05,5,200,2187,0,550.259,0,0.462127807765976,0.000831026206421886,6922
"52",1235,0.05,5,200,2187,0,502.787,0,0.463837828551795,0.000817642660432543,6891
"53",1236,0.05,5,200,2187,0,403.768,0,0.464954892435808,0.000820563488483329,6872
"54",1237,0.05,5,200,2187,0,496.959,0,0.46157795652918,0.000812203822968036,6857
"55",1238,0.05,5,200,2187,0,505.841,0,0.464433701657459,0.00079670483216343,6765
"56",1239,0.05,5,200,2187,0,522.907,0,0.465526269855123,0.000801090169219047,6741
"57",1240,0.05,5,200,2187,0,426.542,0,0.468,0.000814909259969032,6813
"58",1241,0.05,5,200,2187,0,516.096,0,0.465341308937368,0.000815316649519549,6767
"59",1242,0.05,5,200,2187,0,523.957,0,0.469881556683587,0.00080760987042446,6837
