,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
1,1234,0.01,3,200,243,0,0.105,0,0.446808511,0.001415754,283
2,1235,0.01,3,200,243,0,0.104,0,0.420924574,0.001381357,281
3,1236,0.01,3,200,243,0,0.096,0,0.413301663,0.001176912,275
4,1237,0.01,3,200,243,0,0.25,0,0.43556701,0.001346721,258
5,1238,0.01,3,200,243,0,0.083,0,0.419512195,0.001381333,278
6,1239,0.01,3,200,243,0,0.093,0,0.402877698,0.001432665,285
7,1240,0.01,3,200,243,0,0.089,0,0.443324937,0.001363977,267
8,1241,0.01,3,200,243,0,0.084,0,0.439716312,0.001194009,274
9,1242,0.01,3,200,243,0,0.097,0,0.42206235,0.001262109,279
10,1243,0.01,3,200,243,0,0.08,0,0.39192399,0.001211025,278
11,1244,0.01,3,200,243,0,0.235,0,0.400457666,0.001501399,309
12,1245,0.01,3,200,243,0,0.08,0,0.44266055,0.001364885,290
13,1246,0.01,3,200,243,0,0.086,0,0.401960784,0.00175645,311
14,1247,0.01,3,200,243,0,0.081,0,0.404597701,0.001228375,285
15,1248,0.01,3,200,243,0,0.085,0,0.416666667,0.001177133,273
16,1249,0.01,3,200,243,0,0.078,0,0.402877698,0.00144972,294
17,1250,0.01,3,200,243,0,0.082,0,0.411622276,0.001262023,272
18,1251,0.01,3,200,243,0,0.081,0,0.399527187,0.001279296,290
19,1252,0.01,3,200,243,0,0.08,0,0.458715596,0.001211335,274
20,1253,0.01,3,200,243,0,0.224,0,0.397260274,0.001467301,299
21,1254,0.01,3,200,243,0,0.081,0,0.450471698,0.001313433,275
22,1255,0.01,3,200,243,0,0.075,0,0.436144578,0.001176792,267
23,1256,0.01,3,200,243,0,0.092,0,0.440835267,0.001347709,282
24,1257,0.01,3,200,243,0,0.076,0,0.390180879,0.0016024,279
25,1258,0.01,3,200,243,0,0.083,0,0.381679389,0.001517321,279
26,1259,0.01,3,200,243,0,0.077,0,0.394859813,0.001364699,304
27,1260,0.01,3,200,243,0,0.086,0,0.386597938,0.00158538,292
28,1261,0.01,3,200,243,0,0.08,0,0.408983452,0.00131341,285
29,1262,0.01,3,200,243,0,0.07,0,0.418316832,0.001398244,282
30,1263,0.01,3,200,243,0,0.081,0,0.406619385,0.001262239,283
31,1264,0.01,3,200,243,0,0.091,0,0.411027569,0.001312873,269
32,1265,0.01,3,200,243,0,0.081,0,0.424096386,0.001227956,268
33,1266,0.01,3,200,243,0,0.075,0,0.369668246,0.001313388,289
34,1267,0.01,3,200,243,0,0.088,0,0.468677494,0.001245351,270
35,1268,0.01,3,200,243,0,0.074,0,0.437659033,0.001312739,258
36,1269,0.01,3,200,243,0,0.219,0,0.405405405,0.00136421,282
37,1270,0.01,3,200,243,0,0.074,0,0.424170616,0.001228103,279
38,1271,0.01,3,200,243,0,0.083,0,0.430555556,0.001330672,291
39,1272,0.01,3,200,243,0,0.082,0,0.40942928,0.001227705,271
40,1273,0.01,3,200,243,0,0.073,0,0.390186916,0.001449992,307
41,1274,0.01,3,200,243,0,0.09,0,0.434889435,0.001295999,266
42,1275,0.01,3,200,243,0,0.075,0,0.393939394,0.00124601,306
43,1276,0.01,3,200,243,0,0.071,0,0.371158392,0.001449869,294
44,1277,0.01,3,200,243,0,0.076,0,0.39380531,0.001365258,313
45,1278,0.01,3,200,243,0,0.082,0,0.380410023,0.001518512,311
46,1279,0.01,3,200,243,0,0.217,0,0.377272727,0.001279667,306
47,1280,0.01,3,200,243,0,0.076,0,0.388613861,0.001330037,279
48,1281,0.01,3,200,243,0,0.082,0,0.43358396,0.001329923,267
49,1282,0.01,3,200,243,0,0.08,0,0.436619718,0.001142896,268
50,1283,0.01,3,200,243,0,0.085,0,0.385167464,0.001449745,298
101,1234,0.01,5,200,243,0,0.105,0,0.445578231,0.000923693,352
102,1235,0.01,5,200,243,0,0.103,0,0.398473282,0.000993253,409
103,1236,0.01,5,200,243,0,0.106,0,0.428802589,0.001009738,375
104,1237,0.01,5,200,243,0,0.087,0,0.436305732,0.000941442,384
105,1238,0.01,5,200,243,0,0.093,0,0.414414414,0.000959183,413
106,1239,0.01,5,200,243,0,0.088,0,0.410423453,0.000992556,380
107,1240,0.01,5,200,243,0,0.098,0,0.461783439,0.000770271,356
108,1241,0.01,5,200,243,0,0.092,0,0.422322775,0.000667968,384
109,1242,0.01,5,200,243,0,0.093,0,0.441690962,0.000753902,407
110,1243,0.01,5,200,243,0,0.086,0,0.423076923,0.000668117,397
111,1244,0.01,5,200,243,0,0.109,0,0.43419062,0.000873467,400
112,1245,0.01,5,200,243,0,0.084,0,0.395738204,0.000907659,405
113,1246,0.01,5,200,243,0,0.097,0,0.418351477,0.000941684,396
114,1247,0.01,5,200,243,0,0.101,0,0.441176471,0.000804753,378
115,1248,0.01,5,200,243,0,0.079,0,0.387358185,0.000907037,391
116,1249,0.01,5,200,243,0,0.097,0,0.445337621,0.000770192,359
117,1250,0.01,5,200,243,0,0.096,0,0.42476489,0.000975844,392
118,1251,0.01,5,200,243,0,0.093,0,0.422764228,0.000941233,372
119,1252,0.01,5,200,243,0,0.106,0,0.416,0.001009859,393
120,1253,0.01,5,200,243,0,0.225,0,0.37965616,0.000959709,454
121,1254,0.01,5,200,243,0,0.104,0,0.456355283,0.000787725,375
122,1255,0.01,5,200,243,0,0.096,0,0.409090909,0.000975844,395
123,1256,0.01,5,200,243,0,0.238,0,0.446935725,0.000685166,387
124,1257,0.01,5,200,243,0,0.092,0,0.394537178,0.000753554,403
125,1258,0.01,5,200,243,0,0.091,0,0.433333333,0.000873004,376
126,1259,0.01,5,200,243,0,0.094,0,0.40327381,0.000719461,402
127,1260,0.01,5,200,243,0,0.079,0,0.429983526,0.000941104,364
128,1261,0.01,5,200,243,0,0.106,0,0.408653846,0.000992726,395
129,1262,0.01,5,200,243,0,0.099,0,0.379365079,0.00097571,410
130,1263,0.01,5,200,243,0,0.102,0,0.448795181,0.000650852,381
131,1264,0.01,5,200,243,0,0.102,0,0.443521595,0.000769928,350
132,1265,0.01,5,200,243,0,0.11,0,0.416184971,0.0006683,406
133,1266,0.01,5,200,243,0,0.074,0,0.446570973,0.000872959,369
134,1267,0.01,5,200,243,0,0.087,0,0.414173228,0.001095628,402
135,1268,0.01,5,200,243,0,0.101,0,0.421613394,0.000907659,402
136,1269,0.01,5,200,243,0,0.095,0,0.442901235,0.000839027,381
137,1270,0.01,5,200,243,0,0.092,0,0.421133231,0.00095897,410
138,1271,0.01,5,200,243,0,0.246,0,0.458333333,0.000736289,362
139,1272,0.01,5,200,243,0,0.086,0,0.3968,0.000924278,404
140,1273,0.01,5,200,243,0,0.09,0,0.430420712,0.000701682,361
141,1274,0.01,5,200,243,0,0.095,0,0.422580645,0.000838625,367
142,1275,0.01,5,200,243,0,0.083,0,0.408536585,0.00073639,405
143,1276,0.01,5,200,243,0,0.089,0,0.404024768,0.000890365,406
144,1277,0.01,5,200,243,0,0.1,0,0.423913043,0.000890335,388
145,1278,0.01,5,200,243,0,0.098,0,0.403225806,0.000924199,387
146,1279,0.01,5,200,243,0,0.11,0,0.429850746,0.000856472,399
147,1280,0.01,5,200,243,0,0.077,0,0.413793103,0.000889802,371
148,1281,0.01,5,200,243,0,0.081,0,0.386748844,0.000907534,421
149,1282,0.01,5,200,243,0,0.107,0,0.444794953,0.000804588,370
150,1283,0.01,5,200,243,0,0.101,0,0.421296296,0.000719166,381
201,1234,0.01,3,200,243,1,0.103,2496.604008,0.276595745,0.002200389,389
202,1235,0.01,3,200,243,1,0.088,2527.760813,0.236009732,0.002489853,416
203,1236,0.01,3,200,243,1,0.097,2515.641592,0.239904988,0.002404994,398
204,1237,0.01,3,200,243,1,0.106,2513.017094,0.229381443,0.002522971,389
205,1238,0.01,3,200,243,1,0.081,2498.907698,0.253658537,0.00238749,384
206,1239,0.01,3,200,243,1,0.082,2531.492678,0.223021583,0.002694774,418
207,1240,0.01,3,200,243,1,0.099,2519.619613,0.294710327,0.002557458,391
208,1241,0.01,3,200,243,1,0.086,2488.685099,0.252955083,0.002541534,412
209,1242,0.01,3,200,243,1,0.082,2468.793471,0.237410072,0.002336608,401
210,1243,0.01,3,200,243,1,0.08,2492.25063,0.235154394,0.002490278,402
211,1244,0.01,3,200,243,1,0.27,2547.543916,0.254004577,0.002235037,402
212,1245,0.01,3,200,243,1,0.084,2511.932027,0.27293578,0.002320304,406
213,1246,0.01,3,200,243,1,0.095,2499.335381,0.227941176,0.002626149,422
214,1247,0.01,3,200,243,1,0.09,2526.495239,0.271264368,0.002405569,406
215,1248,0.01,3,200,243,1,0.083,2522.831673,0.263888889,0.002251906,395
216,1249,0.01,3,200,243,1,0.081,2495.284853,0.256594724,0.002353664,401
217,1250,0.01,3,200,243,1,0.099,2507.59376,0.249394673,0.002506992,392
218,1251,0.01,3,200,243,1,0.077,2529.912653,0.264775414,0.002388019,399
219,1252,0.01,3,200,243,1,0.09,2509.385171,0.254587156,0.002456793,420
220,1253,0.01,3,200,243,1,0.088,2510.315814,0.237442922,0.002422753,417
221,1254,0.01,3,200,243,1,0.079,2510.234448,0.259433962,0.002371002,399
222,1255,0.01,3,200,243,1,0.223,2511.545705,0.253012048,0.002285363,389
223,1256,0.01,3,200,243,1,0.092,2542.476303,0.252900232,0.002405404,409
224,1257,0.01,3,200,243,1,0.084,2495.409649,0.237726098,0.002420647,377
225,1258,0.01,3,200,243,1,0.08,2520.365573,0.244274809,0.002523186,376
226,1259,0.01,3,200,243,1,0.096,2505.765327,0.238317757,0.002200577,406
227,1260,0.01,3,200,243,1,0.079,2522.753705,0.265463918,0.002420688,382
228,1261,0.01,3,200,243,1,0.084,2527.717191,0.250591017,0.002200389,393
229,1262,0.01,3,200,243,1,0.248,2483.596049,0.252475248,0.002438401,396
230,1263,0.01,3,200,243,1,0.091,2496.614621,0.257683215,0.002473305,404
231,1264,0.01,3,200,243,1,0.09,2492.681397,0.270676692,0.002404092,383
232,1265,0.01,3,200,243,1,0.091,2500.187278,0.255421687,0.002404748,395
233,1266,0.01,3,200,243,1,0.092,2546.602288,0.208530806,0.002524434,418
234,1267,0.01,3,200,243,1,0.077,2486.969266,0.278422274,0.00218363,394
235,1268,0.01,3,200,243,1,0.076,2509.268354,0.24173028,0.002744817,404
236,1269,0.01,3,200,243,1,0.08,2486.722125,0.27027027,0.002438525,390
237,1270,0.01,3,200,243,1,0.079,2513.489938,0.277251185,0.002200351,389
238,1271,0.01,3,200,243,1,0.079,2487.853136,0.296296296,0.001996008,381
239,1272,0.01,3,200,243,1,0.089,2526.537345,0.23325062,0.002660028,410
240,1273,0.01,3,200,243,1,0.091,2510.873103,0.23364486,0.002439399,424
241,1274,0.01,3,200,243,1,0.108,2503.012709,0.267813268,0.002148631,375
242,1275,0.01,3,200,243,1,0.09,2555.023297,0.229437229,0.002509089,435
