,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
1,1234,0.01,3,200,729,0,1.228,0,0.407905138,0.000724288,1022
2,1235,0.01,3,200,729,0,0.859,0,0.425658454,0.000790172,995
3,1236,0.01,3,200,729,0,0.743,0,0.41442953,0.000775108,1010
4,1237,0.01,3,200,729,0,0.667,0,0.423259494,0.000748807,1023
5,1238,0.01,3,200,729,0,0.864,0,0.396226415,0.000786463,1040
6,1239,0.01,3,200,729,0,0.865,0,0.401750199,0.000799722,1073
7,1240,0.01,3,200,729,0,0.648,0,0.409165303,0.000763835,1021
8,1241,0.01,3,200,729,0,0.894,0,0.409486166,0.000758239,1035
9,1242,0.01,3,200,729,0,0.715,0,0.440065681,0.00073554,996
10,1243,0.01,3,200,729,0,0.884,0,0.431309904,0.000720498,1000
11,1244,0.01,3,200,729,0,0.724,0,0.409461664,0.000818536,1055
12,1245,0.01,3,200,729,0,0.997,0,0.424148607,0.00074696,1041
13,1246,0.01,3,200,729,0,0.705,0,0.427682737,0.000639436,970
14,1247,0.01,3,200,729,0,0.762,0,0.415922015,0.000712925,991
15,1248,0.01,3,200,729,0,0.826,0,0.418876755,0.000709221,1022
16,1249,0.01,3,200,729,0,0.709,0,0.430522088,0.000701627,982
17,1250,0.01,3,200,729,0,0.675,0,0.433841219,0.000756327,1026
18,1251,0.01,3,200,729,0,0.767,0,0.44266239,0.000737466,989
19,1252,0.01,3,200,729,0,0.678,0,0.432067511,0.000731722,976
20,1253,0.01,3,200,729,0,0.798,0,0.410418311,0.000782762,1060
21,1254,0.01,3,200,729,0,0.862,0,0.449799197,0.000692197,974
22,1255,0.01,3,200,729,0,0.876,0,0.441225166,0.000726096,965
23,1256,0.01,3,200,729,0,0.858,0,0.417887433,0.000713014,1044
24,1257,0.01,3,200,729,0,0.908,0,0.418796373,0.000748735,1002
25,1258,0.01,3,200,729,0,0.756,0,0.408809892,0.000726214,1054
26,1259,0.01,3,200,729,0,0.818,0,0.411764706,0.00074123,1026
27,1260,0.01,3,200,729,0,0.73,0,0.407884151,0.000722372,1016
28,1261,0.01,3,200,729,0,0.645,0,0.40627451,0.000746936,1050
29,1262,0.01,3,200,729,0,0.925,0,0.420970266,0.000667719,988
30,1263,0.01,3,200,729,0,0.946,0,0.438808374,0.000763864,1007
31,1264,0.01,3,200,729,0,0.688,0,0.386784851,0.000746888,1047
