"","seed","alpha","deg","n","d","method","time","sig_diff","TPR","FPR","SHM"
"238",1271,0.05,3,200,729,2,19.4239999999991,17756.955310732,0.44453125,0.00314244163565408,2304
"239",1272,0.05,3,200,729,2,20.1989999999932,17784.1451932415,0.438511326860841,0.00321196518327817,2337
"240",1273,0.05,3,200,729,2,19.3139999999839,17744.3694473214,0.433884297520661,0.00310242139746639,2260
"241",1274,0.05,3,200,729,2,19.5889999999781,17772.7409186896,0.427652733118971,0.00317240572843679,2317
"242",1275,0.05,3,200,729,2,20.252999999997,17799.5233645651,0.417233560090703,0.00313892378677955,2359
"243",1276,0.05,3,200,729,2,19.5739999999932,17720.3002982957,0.442307692307692,0.0032252406199252,2331
"244",1277,0.05,3,200,729,2,19.698000000004,17822.4961585934,0.448249027237354,0.00311417771372954,2284
"245",1278,0.05,3,200,729,2,20.0199999999895,17849.2029163384,0.427884615384615,0.00314602418364633,2297
"246",1279,0.05,3,200,729,2,20.4929999999877,17803.0847193805,0.437400950871632,0.00318948883301677,2313
"247",1280,0.05,3,200,729,2,19.5329999999958,17756.6251663184,0.417564208782104,0.00318161415525975,2304
"248",1281,0.05,3,200,729,2,19.4310000000114,17741.6465798951,0.435458786936236,0.00316888457149324,2342
"249",1282,0.05,3,200,729,2,19.1580000000249,17671.8848269488,0.439739413680782,0.00315910775480797,2301
"250",1283,0.05,3,200,729,2,20.1209999999846,17793.3793622112,0.415124698310539,0.00321012150177858,2362
"251",1234,0.05,5,200,729,2,23.6710000000021,17749.5446753043,0.43607532210109,0.00254239048926851,2429
"252",1235,0.05,5,200,729,2,23.4379999999946,17831.2026554944,0.430434782608696,0.0027171398845546,2435
"253",1236,0.05,5,200,729,2,23.4320000000007,17671.2962993819,0.470107307102708,0.00254020895815549,2331
"254",1237,0.05,5,200,729,2,24.6809999999823,17734.7094999993,0.440386680988185,0.00269459325237594,2418
"255",1238,0.05,5,200,729,2,22.4610000000102,17776.249416065,0.439354502863092,0.00265334642695271,2433
"256",1239,0.05,5,200,729,2,22.8429999999935,17754.8667125235,0.431061806656101,0.00271363502458701,2453
"257",1240,0.05,5,200,729,2,23.7329999999783,17780.5035175641,0.424460431654676,0.0026459173363299,2458
"258",1241,0.05,5,200,729,2,23.4320000000007,17692.0552698144,0.437400950871632,0.00269286259224848,2429
"259",1242,0.05,5,200,729,2,23.0940000000119,17706.076666581,0.439520333680918,0.00257401472646136,2386
"260",1243,0.05,5,200,729,2,22.7900000000081,17766.2798729769,0.442464358452138,0.00258179297684319,2412
"261",1244,0.05,5,200,729,2,22.9560000000056,17738.5226686273,0.441176470588235,0.00270012556527978,2408
"262",1245,0.05,5,200,729,2,22.0860000000102,17834.043189068,0.426109660574413,0.00264387395519767,2438
"263",1246,0.05,5,200,729,2,21.7489999999816,17758.6823930028,0.449526813880126,0.00263436687382799,2383
"264",1247,0.05,5,200,729,2,21.262000000017,17781.3161693351,0.446537678207739,0.00264600728643548,2441
"265",1248,0.05,5,200,729,2,20.198000000004,17735.0959868673,0.426694692590646,0.002672140620692,2444
"266",1249,0.05,5,200,729,2,19.3699999999953,17766.263682968,0.440686784599376,0.00262502384239281,2421
"267",1250,0.05,5,200,729,2,19.2889999999898,17761.2684695878,0.423809523809524,0.00273061518154059,2472
"268",1251,0.05,5,200,729,2,18.5629999999946,17753.8072412526,0.436612576064909,0.00260071883339723,2434
"269",1252,0.05,5,200,729,2,18.2580000000016,17770.8900898216,0.454689984101749,0.00262296196421895,2368
"270",1253,0.05,5,200,729,2,18.7829999999958,17797.5665337635,0.430612244897959,0.00263843272940861,2464
"271",1254,0.05,5,200,729,2,18.5899999999965,17696.7494063443,0.438632832729156,0.00263262261335952,2424
"272",1255,0.05,5,200,729,2,19.5789999999979,17805.9158580534,0.428053830227743,0.00277615677920489,2505
"273",1256,0.05,5,200,729,2,18.31700000001,17789.5655233641,0.440652063168619,0.00261389519489006,2434
"274",1257,0.05,5,200,729,2,18.3280000000086,17812.8216676527,0.4265625,0.00265145291688148,2444
"275",1258,0.05,5,200,729,2,18.5320000000065,17785.9050008382,0.457914240338804,0.00262863703658942,2378
"276",1259,0.05,5,200,729,2,18.1530000000203,17714.1867808798,0.453630100688924,0.00260030138569438,2358
"277",1260,0.05,5,200,729,2,17.862999999983,17792.2956261318,0.44043321299639,0.0025967796155633,2412
"278",1261,0.05,5,200,729,2,18.2229999999981,17727.9004548409,0.446819338422392,0.0026006844502867,2418
"279",1262,0.05,5,200,729,2,17.8589999999967,17779.7531757371,0.432502596053998,0.00257783065635534,2418
"280",1263,0.05,5,200,729,2,18.5599999999977,17785.382540652,0.440923737916219,0.00266626886640142,2411
"281",1264,0.05,5,200,729,2,18.4640000000072,17818.7007181399,0.424132573795961,0.00266850484410115,2470
"282",1265,0.05,5,200,729,2,18.74099999998,17745.783883492,0.440104166666667,0.00271566189065212,2458
"283",1266,0.05,5,200,729,2,17.7250000000058,17844.3105178162,0.420454545454545,0.00272896384358977,2511
"284",1267,0.05,5,200,729,2,17.8499999999767,17727.0247859229,0.429916317991632,0.00260042415051867,2426
