,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
1,1234,0.01,3,150,81,0,0.05,0,0.305555556,0.003740065,110
2,1235,0.01,3,150,81,0,0.02,0,0.379562044,0.002646326,86
3,1236,0.01,3,150,81,0,0.03,0,0.322834646,0.003419335,90
4,1237,0.01,3,150,81,0,0.02,0,0.353333333,0.00249571,96
5,1238,0.01,3,150,81,0,0.01,0,0.378205128,0.002029664,96
6,1239,0.01,3,150,81,0,0.02,0,0.388059701,0.001867123,81
7,1240,0.01,3,150,81,0,0.03,0,0.384615385,0.003265433,88
8,1241,0.01,3,150,81,0,0.03,0,0.315789474,0.003578096,98
9,1242,0.01,3,150,81,0,0.02,0,0.389312977,0.002643857,77
10,1243,0.01,3,150,81,0,0.02,0,0.324137931,0.002961347,94
11,1244,0.01,3,150,81,0,0.02,0,0.407407407,0.002334267,83
12,1245,0.01,3,150,81,0,0.01,0,0.409722222,0.002025869,89
13,1246,0.01,3,150,81,0,0.02,0,0.299363057,0.004059963,111
14,1247,0.01,3,150,81,0,0.03,0,0.393548387,0.002185451,94
15,1248,0.01,3,150,81,0,0.03,0,0.351351351,0.002962732,94
16,1249,0.01,3,150,81,0,0.03,0,0.360294118,0.001712062,81
17,1250,0.01,3,150,81,0,0.01,0,0.295454545,0.002644268,91
18,1251,0.01,3,150,81,0,0.03,0,0.431372549,0.002028714,86
19,1252,0.01,3,150,81,0,0.02,0,0.378787879,0.003110904,79
20,1253,0.01,3,150,81,0,0.01,0,0.335820896,0.002800685,86
21,1254,0.01,3,150,81,0,0.03,0,0.354609929,0.002647975,93
22,1255,0.01,3,150,81,0,0.04,0,0.372262774,0.001867995,76
23,1256,0.01,3,150,81,0,0.01,0,0.35915493,0.002959963,89
24,1257,0.01,3,150,81,0,0.03,0,0.3671875,0.002642624,83
25,1258,0.01,3,150,81,0,0.03,0,0.321678322,0.002804612,97
26,1259,0.01,3,150,81,0,0.02,0,0.351851852,0.002500391,105
27,1260,0.01,3,150,81,0,0.03,0,0.306451613,0.002796334,86
28,1261,0.01,3,150,81,0,0.03,0,0.346666667,0.002963656,101
29,1262,0.01,3,150,81,0,0.02,0,0.342857143,0.002647563,89
30,1263,0.01,3,150,81,0,0.03,0,0.357142857,0.002024607,83
31,1264,0.01,3,150,81,0,0.02,0,0.433333333,0.002639342,75
32,1265,0.01,3,150,81,0,0.01,0,0.314285714,0.002803302,101
33,1266,0.01,3,150,81,0,0.02,0,0.272727273,0.004206918,111
34,1267,0.01,3,150,81,0,0.03,0,0.375757576,0.00203252,102
35,1268,0.01,3,150,81,0,0.01,0,0.386861314,0.002646326,88
36,1269,0.01,3,150,81,0,0.03,0,0.27480916,0.003576983,97
37,1270,0.01,3,150,81,0,0.02,0,0.352564103,0.002185792,100
38,1271,0.01,3,150,81,0,0.03,0,0.368421053,0.002496489,90
39,1272,0.01,3,150,81,0,0.04,0,0.346153846,0.002954439,85
40,1273,0.01,3,150,81,0,0.03,0,0.394904459,0.001561524,90
41,1274,0.01,3,150,81,0,0.04,0,0.35,0.002030933,96
42,1275,0.01,3,150,81,0,0.03,0,0.436241611,0.002651279,90
43,1276,0.01,3,150,81,0,0.24,0,0.265734266,0.003272047,103
44,1277,0.01,3,150,81,0,0.03,0,0.361842105,0.002340459,97
45,1278,0.01,3,150,81,0,0.03,0,0.369565217,0.002023976,85
46,1279,0.01,3,150,81,0,0.05,0,0.367647059,0.003735409,89
47,1280,0.01,3,150,81,0,0.03,0,0.379310345,0.002493766,92
48,1281,0.01,3,150,81,0,0.02,0,0.352517986,0.002802865,92
49,1282,0.01,3,150,81,0,0.03,0,0.329113924,0.004060597,109
50,1283,0.01,3,150,81,0,0.01,0,0.339285714,0.003101256,79
101,1234,0.01,5,150,81,0,0.06,0,0.348623853,0.002522466,139
102,1235,0.01,5,150,81,0,0.11,0,0.343347639,0.001738306,152
103,1236,0.01,5,150,81,0,0.06,0,0.35483871,0.00204918,136
104,1237,0.01,5,150,81,0,0.07,0,0.391304348,0.001731193,128
105,1238,0.01,5,150,81,0,0.08,0,0.314814815,0.002521671,145
106,1239,0.01,5,150,81,0,0.06,0,0.317948718,0.002513352,133
107,1240,0.01,5,150,81,0,0.07,0,0.361386139,0.000786287,125
108,1241,0.01,5,150,81,0,0.06,0,0.37,0.002515328,126
109,1242,0.01,5,150,81,0,0.06,0,0.348623853,0.002049503,139
110,1243,0.01,5,150,81,0,0.06,0,0.32034632,0.00300158,156
111,1244,0.01,5,150,81,0,0.08,0,0.357843137,0.00204499,133
112,1245,0.01,5,150,81,0,0.07,0,0.340206186,0.002355898,133
113,1246,0.01,5,150,81,0,0.06,0,0.322033898,0.001897233,156
114,1247,0.01,5,150,81,0,0.08,0,0.336283186,0.002052092,147
115,1248,0.01,5,150,81,0,0.18,0,0.29245283,0.002677587,155
116,1249,0.01,5,150,81,0,0.11,0,0.339285714,0.001735837,147
117,1250,0.01,5,150,81,0,0.07,0,0.285067873,0.001892744,157
118,1251,0.01,5,150,81,0,0.06,0,0.330275229,0.001734195,143
119,1252,0.01,5,150,81,0,0.17,0,0.282700422,0.003004428,174
120,1253,0.01,5,150,81,0,0.1,0,0.353773585,0.001890061,135
121,1254,0.01,5,150,81,0,0.08,0,0.417085427,0.001414649,116
122,1255,0.01,5,150,81,0,0.07,0,0.334951456,0.002832415,135
123,1256,0.01,5,150,81,0,0.05,0,0.37037037,0.002040176,122
124,1257,0.01,5,150,81,0,0.07,0,0.336633663,0.002201604,132
125,1258,0.01,5,150,81,0,0.08,0,0.351351351,0.002050797,142
126,1259,0.01,5,150,81,0,0.06,0,0.315315315,0.002524057,152
127,1260,0.01,5,150,81,0,0.08,0,0.33,0.002200912,132
128,1261,0.01,5,150,81,0,0.08,0,0.374384236,0.001887386,120
129,1262,0.01,5,150,81,0,0.06,0,0.347222222,0.002206462,139
130,1263,0.01,5,150,81,0,0.1,0,0.32718894,0.00220681,149
131,1264,0.01,5,150,81,0,0.19,0,0.350961538,0.002203683,133
132,1265,0.01,5,150,81,0,0.08,0,0.325358852,0.002361461,140
133,1266,0.01,5,150,81,0,0.18,0,0.4,0.002200912,122
134,1267,0.01,5,150,81,0,0.08,0,0.324444444,0.001420455,142
135,1268,0.01,5,150,81,0,0.06,0,0.352941176,0.002050473,146
136,1269,0.01,5,150,81,0,0.06,0,0.330472103,0.002686473,158
137,1270,0.01,5,150,81,0,0.06,0,0.350649351,0.001579779,150
138,1271,0.01,5,150,81,0,0.08,0,0.306532663,0.002514932,135
139,1272,0.01,5,150,81,0,0.06,0,0.368421053,0.002676322,132
140,1273,0.01,5,150,81,0,0.06,0,0.368159204,0.002358491,128
141,1274,0.01,5,150,81,0,0.05,0,0.278606965,0.002515723,144
142,1275,0.01,5,150,81,0,0.06,0,0.317391304,0.001895435,153
143,1276,0.01,5,150,81,0,0.06,0,0.328828829,0.001893043,146
144,1277,0.01,5,150,81,0,0.07,0,0.344827586,0.002359232,133
145,1278,0.01,5,150,81,0,0.08,0,0.376744186,0.002678853,134
146,1279,0.01,5,150,81,0,0.06,0,0.397959184,0.000785546,112
147,1280,0.01,5,150,81,0,0.06,0,0.32300885,0.001578532,149
148,1281,0.01,5,150,81,0,0.05,0,0.331858407,0.001578532,146
149,1282,0.01,5,150,81,0,0.08,0,0.356097561,0.002045312,136
150,1283,0.01,5,150,81,0,0.04,0,0.347222222,0.002048857,144
201,1234,0.01,3,150,81,1,0.05,335.7568256,0.180555556,0.004519246,129
202,1235,0.01,3,150,81,1,0.06,351.536985,0.182481752,0.004825654,119
203,1236,0.01,3,150,81,1,0.06,345.0286301,0.173228346,0.004041032,112
204,1237,0.01,3,150,81,1,0.04,346.8709625,0.14,0.004367493,131
205,1238,0.01,3,150,81,1,0.08,341.0582696,0.179487179,0.004683841,131
206,1239,0.01,3,150,81,1,0.05,347.6737129,0.186567164,0.004823401,119
207,1240,0.01,3,150,81,1,0.06,344.2375971,0.169230769,0.005286892,119
208,1241,0.01,3,150,81,1,0.06,348.5419486,0.172932331,0.004511512,115
209,1242,0.01,3,150,81,1,0.08,338.7039198,0.198473282,0.004821151,106
210,1243,0.01,3,150,81,1,0.06,344.3407125,0.165517241,0.004208229,125
211,1244,0.01,3,150,81,1,0.06,343.8829726,0.251851852,0.002956738,106
212,1245,0.01,3,150,81,1,0.06,349.8133942,0.222222222,0.002805049,115
213,1246,0.01,3,150,81,1,0.04,356.5010707,0.152866242,0.004996877,141
214,1247,0.01,3,150,81,1,0.06,355.0236963,0.122580645,0.004839213,146
215,1248,0.01,3,150,81,1,0.08,344.068154,0.175675676,0.004833931,127
216,1249,0.01,3,150,81,1,0.06,348.2338801,0.161764706,0.003891051,116
217,1250,0.01,3,150,81,1,0.08,343.2464608,0.159090909,0.003733084,116
218,1251,0.01,3,150,81,1,0.04,334.1411503,0.248366013,0.003745318,118
219,1252,0.01,3,150,81,1,0.05,350.4925497,0.204545455,0.004355265,110
220,1253,0.01,3,150,81,1,0.04,350.8666864,0.164179104,0.00388984,115
221,1254,0.01,3,150,81,1,0.06,342.8476567,0.19858156,0.003894081,122
222,1255,0.01,3,150,81,1,0.06,343.6238123,0.211678832,0.004358655,113
223,1256,0.01,3,150,81,1,0.06,349.6584075,0.161971831,0.004050475,120
224,1257,0.01,3,150,81,1,0.1,344.0627501,0.15625,0.004974351,119
225,1258,0.01,3,150,81,1,0.07,346.9886042,0.160839161,0.00436273,125
226,1259,0.01,3,150,81,1,0.04,352.5528566,0.154320988,0.004219409,140
227,1260,0.01,3,150,81,1,0.04,353.7851926,0.137096774,0.004194501,111
228,1261,0.01,3,150,81,1,0.05,346.2901377,0.173333333,0.004367493,131
229,1262,0.01,3,150,81,1,0.04,331.7588265,0.192857143,0.004360691,110
230,1263,0.01,3,150,81,1,0.06,343.5615746,0.2,0.003737736,107
231,1264,0.01,3,150,81,1,0.09,345.6444113,0.208333333,0.004502406,105
232,1265,0.01,3,150,81,1,0.06,345.7526809,0.157142857,0.003737736,123
233,1266,0.01,3,150,81,1,0.08,332.4597545,0.202797203,0.003895294,120
234,1267,0.01,3,150,81,1,0.06,347.4649149,0.151515152,0.005003127,146
235,1268,0.01,3,150,81,1,0.06,342.0419945,0.218978102,0.002334994,105
236,1269,0.01,3,150,81,1,0.05,345.5442407,0.167938931,0.004043546,116
237,1270,0.01,3,150,81,1,0.06,349.5413013,0.166666667,0.003903201,135
238,1271,0.01,3,150,81,1,0.08,345.8713063,0.210526316,0.003432673,121
239,1272,0.01,3,150,81,1,0.04,352.1000911,0.184615385,0.004198414,110
240,1273,0.01,3,150,81,1,0.05,344.5575179,0.21656051,0.003435353,120
241,1274,0.01,3,150,81,1,0.03,341.276597,0.19375,0.003593189,128
242,1275,0.01,3,150,81,1,0.07,350.0282955,0.154362416,0.004990643,132
243,1276,0.01,3,150,81,1,0.04,340.0628617,0.160839161,0.004051106,119
244,1277,0.01,3,150,81,1,0.04,346.5078402,0.223684211,0.003588703,125
245,1278,0.01,3,150,81,1,0.14,337.8127626,0.260869565,0.003736572,110
246,1279,0.01,3,150,81,1,0.18,351.3660654,0.198529412,0.003579767,116
247,1280,0.01,3,150,81,1,0.1,342.0248163,0.137931034,0.003428928,125
248,1281,0.01,3,150,81,1,0.1,351.195572,0.28057554,0.003114295,100
249,1282,0.01,3,150,81,1,0.1,349.3408284,0.221518987,0.003279713,128
250,1283,0.01,3,150,81,1,0.18,340.5313575,0.151785714,0.004651884,110
301,1234,0.01,5,150,81,1,0.04,344.5605072,0.151376147,0.004256661,190
302,1235,0.01,5,150,81,1,0.03,357.551013,0.175965665,0.00363464,195
303,1236,0.01,5,150,81,1,0.04,362.4913675,0.179723502,0.00425599,187
304,1237,0.01,5,150,81,1,0.02,361.0863512,0.144927536,0.004721435,190
305,1238,0.01,5,150,81,1,0.03,348.1574638,0.148148148,0.004570528,189
306,1239,0.01,5,150,81,1,0.03,356.3473483,0.148717949,0.004398366,178
307,1240,0.01,5,150,81,1,0.01,356.6052641,0.222772277,0.001887089,154
308,1241,0.01,5,150,81,1,0.03,341.6164469,0.15,0.0039302,169
309,1242,0.01,5,150,81,1,0.01,345.3342026,0.174311927,0.004099007,187
310,1243,0.01,5,150,81,1,0.01,361.9897635,0.168831169,0.004107425,199
311,1244,0.01,5,150,81,1,0.03,353.3971293,0.181372549,0.002988831,171
312,1245,0.01,5,150,81,1,0.03,353.952512,0.159793814,0.003612376,176
313,1246,0.01,5,150,81,1,0.03,356.49853,0.186440678,0.00284585,196
314,1247,0.01,5,150,81,1,0.03,359.7926649,0.17699115,0.003630624,187
315,1248,0.01,5,150,81,1,0.05,354.0783544,0.141509434,0.003622618,184
316,1249,0.01,5,150,81,1,0.03,350.55851,0.174107143,0.002840461,185
317,1250,0.01,5,150,81,1,0.05,347.6115121,0.167420814,0.004100946,186
318,1251,0.01,5,150,81,1,0.03,347.5178778,0.160550459,0.00346839,186
319,1252,0.01,5,150,81,1,0.05,355.6739002,0.156118143,0.003795066,206
320,1253,0.01,5,150,81,1,0.05,352.4469128,0.193396226,0.003937628,182
321,1254,0.01,5,150,81,1,0.05,367.1019984,0.16080402,0.004243948,179
322,1255,0.01,5,150,81,1,0.06,348.9486873,0.17961165,0.003304485,170
323,1256,0.01,5,150,81,1,0.05,352.2538322,0.169312169,0.003766478,166
324,1257,0.01,5,150,81,1,0.05,351.8386499,0.113861386,0.004088693,186
325,1258,0.01,5,150,81,1,0.05,348.1201564,0.184684685,0.003470579,181
326,1259,0.01,5,150,81,1,0.05,354.5078474,0.202702703,0.003470579,184
327,1260,0.01,5,150,81,1,0.05,359.5444557,0.11,0.004873448,186
328,1261,0.01,5,150,81,1,0.07,356.0850181,0.172413793,0.003932054,174
329,1262,0.01,5,150,81,1,0.07,351.0106546,0.166666667,0.005043341,195
330,1263,0.01,5,150,81,1,0.06,355.758737,0.142857143,0.004728878,200
